"","species","kleptocnides","sac","color","color.sac"
"1","Phyllodesmium_koehleri","N","Y","purple","yellow"
"2","Bulbaeolidia_alba","N","Y","purple","yellow"
"3","Aeolidia_papillosa_B","Y","Y","green","yellow"
"4","Anteaeolidiella_chromosoma_A","Y","Y","green","yellow"
"5","Armina_californica","N","N","purple","blue"
"6","Austraeolis_stearnsi_A","Y","Y","green","yellow"
"7","Baeolidia_australis","Y","Y","green","yellow"
"8","Baeolidia_moebii","Y","Y","green","yellow"
"9","Limenandra_nodosa","Y","Y","green","yellow"
"10","Berghia_verrucicornis","Y","Y","green","yellow"
"11","Berghia_stephanieae_A","Y","Y","green","yellow"
"12","Bornella_anguilla","N","N","purple","blue"
"13","Cerberilla_affinis","Y","Y","green","yellow"
"14","Cuthona_caerulea","Y","Y","green","yellow"
"15","Calmella_cavolini_A","Y","Y","green","yellow"
"16","Caloria_elegans","Y","Y","green","yellow"
"17","Cuthona_kanga","Y","Y","green","yellow"
"18","Cratena_peregrina","Y","Y","green","yellow"
"19","Calmella_cavolini_B","Y","Y","green","yellow"
"20","Catriona_columbiana","Y","Y","green","yellow"
"21","Charcotia_granulosa","N","Y","purple","yellow"
"22","Cuthona_albocrusta","Y","Y","green","yellow"
"23","Dendronotus_venustus","N","N","purple","blue"
"24","Dermatobranchus_sp.","N","N","purple","blue"
"25","Dirona_albolineata","N","Y","purple","blue"
"26","Dirona_picta","N","N","purple","blue"
"27","Dondice_occidentalis","Y","Y","green","yellow"
"28","Dondice_parguerensis","Y","Y","green","yellow"
"29","Doto_lancei","N","N","purple","blue"
"30","Eubranchus_exiguus","Y","Y","green","yellow"
"31","Eubranchus_rustyus_B","Y","Y","green","yellow"
"32","Eubranchus_sp.","Y","Y","green","yellow"
"33","Embletonia_pulchra_B","Y","N","green","blue"
"34","Embletonia_sp.","Y","N","green","blue"
"35","Eubranchus_rustyus_A","Y","Y","green","yellow"
"36","Flabellina_affinis","Y","Y","green","yellow"
"37","Luisella_babai","Y","Y","green","yellow"
"38","Coryphellina_exoptata","Y","Y","green","yellow"
"39","Paraflabellina_ischitana","Y","Y","green","yellow"
"40","Coryphellina_rubrolineata","Y","Y","green","yellow"
"41","Favorinus_auritulus","N","Y","purple","yellow"
"42","Facelina_rubrovittata","Y","Y","green","yellow"
"43","Fiona_pinnata_A","N","N","purple","blue"
"44","Edmunsella_pedata","Y","Y","green","yellow"
"45","Flabellinopsis_iodinea","Y","Y","green","yellow"
"46","Glaucus_atlanticus","Y","Y","green","yellow"
"47","Hancockia_uncinata","Y","Y","green","yellow"
"48","Hermissenda_crassicornis","Y","Y","green","yellow"
"49","Hermissenda_opalescens","Y","Y","green","yellow"
"50","Janolus_capensis","N","Y","purple","yellow"
"51","Janolus_cristatus","N","Y","purple","yellow"
"52","Janolus_barbarensis_A","N","N","purple","blue"
"53","Learchis_evelinae","Y","Y","green","yellow"
"54","Limenandra_confusa","Y","Y","green","yellow"
"55","Lomanotus_vermiformis","N","N","purple","blue"
"56","Melibe_leonina","N","N","purple","blue"
"57","Notaeolidia_depressa","Y","Y","green","yellow"
"58","Noumeaella_rubrofasciata","Y","Y","green","yellow"
"59","Phyllodesmium_colemani","N","Y","purple","yellow"
"60","Phyllodesmium_jakobsenae","Y","Y","green","yellow"
"61","Phidiana_lottini","Y","Y","green","yellow"
"62","Phestilla_lugubris","N","Y","purple","yellow"
"63","Phyllodesmium_macphersonae","N","Y","purple","yellow"
"64","Phyllodesmium_magnum","N","Y","purple","yellow"
"65","Phestilla_melanobranchia","N","Y","purple","yellow"
"66","Palisa_papillata","Y","Y","green","yellow"
"67","Phestilla_sp.","Y","Y","green","yellow"
"68","Phidiana_lynceus_A","Y","Y","green","yellow"
"69","Paraflabellina_gabinierei","Y","Y","green","yellow"
"70","Pruvotfolia_pselliotes","Y","Y","green","yellow"
"71","Pteraeolidia_ianthina","Y","Y","green","yellow"
"72","Spurilla_neapolitana","Y","Y","green","yellow"
"73","Scyllaea_fulva","N","N","purple","blue"
"74","Spurilla_braziliana","Y","Y","green","yellow"
"75","Tergipes_antarcticus","N","N","purple","blue"
"76","Tergipes_Tergipes","N","N","purple","blue"
"77","Tritonia_diomedea","N","N","purple","blue"
"78","Tritonia_festiva","N","N","purple","blue"
"79","Tritonia_hamnerorum","N","N","purple","blue"
"80","Tritoniopsis_frydis","N","N","purple","blue"
"81","Unidentia_angelvaldesi","Y","Y","green","yellow"
